0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:47:47 -0300] "GET /ProjetoJSF/ConsultaPessoas.xhtml HTTP/1.1" 200 3471
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:47:47 -0300] "GET /ProjetoJSF/javax.faces.resource/consulta-pessoas.css.xhtml?ln=css HTTP/1.1" 200 392
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:47:47 -0300] "GET /ProjetoJSF/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:47:47 -0300] "GET /ProjetoJSF/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:47:49 -0300] "GET /ProjetoJSF/CadastroPessoas.xhtml HTTP/1.1" 200 3778
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:47:49 -0300] "GET /ProjetoJSF/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:47:49 -0300] "GET /ProjetoJSF/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - - [14/Sep/2016:13:50:27 -0300] "POST /ProjetoJSF/CadastroPessoas.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Sep/2016:13:50:27 -0300] "GET /ProjetoJSF/Login.xhtml HTTP/1.1" 200 1392
0:0:0:0:0:0:0:1 - - [14/Sep/2016:13:50:27 -0300] "GET /ProjetoJSF/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:50:35 -0300] "POST /ProjetoJSF/Login.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:50:35 -0300] "GET /ProjetoJSF/Home.xhtml HTTP/1.1" 200 1889
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:50:35 -0300] "GET /ProjetoJSF/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - fabiano [14/Sep/2016:13:50:35 -0300] "GET /ProjetoJSF/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 1827
